Data Point Number, Analog Reading 1, Analog Reading 2, Analog Reading 3, Current Milliseconds, Microseconds Write Time
782,477,489,472,1501,1300
783,477,383,357,1503,1304
784,477,303,276,1504,1300
785,477,279,250,1506,1304
786,477,300,276,1507,1300
787,478,361,338,1509,1304
788,477,462,451,1510,1300
789,477,563,559,1512,1308
790,477,612,615,1513,1300
791,478,618,620,1515,1308
792,477,576,583,1516,1300
793,477,493,488,1518,1308
794,478,376,365,1519,1300
795,478,299,287,1521,18436
796,478,218,219,1540,1296
797,478,272,253,1541,1300
798,477,367,352,1543,1292
799,477,518,505,1544,1300
800,477,661,653,1546,1292
801,478,775,762,1547,1300
802,478,776,774,1549,1292
803,478,690,702,1550,1296
804,478,513,530,1552,1296
805,478,315,330,1553,1292
806,478,214,209,1555,1296
807,478,216,182,1556,1292
808,478,223,204,1558,1296
809,478,339,318,1559,1292
810,478,516,498,1561,1296
811,478,687,671,1562,1292
812,478,784,781,1564,1304
813,478,781,789,1565,1292
814,478,717,728,1568,3268
815,478,208,286,1570,1296
816,478,207,169,1571,1304
817,478,209,151,1573,1292
818,478,218,190,1574,1304
819,478,367,345,1576,1292
820,478,591,571,1577,1304
821,478,792,792,1580,1292
822,478,795,870,1581,1300
823,478,789,854,1583,1292
824,478,738,740,1584,1300
825,478,454,483,1586,1292
826,478,208,208,1587,1300
827,478,200,92,1589,1252
828,478,209,94,1590,1256
829,478,212,150,1592,1300
830,478,350,321,1593,1292
831,478,628,603,1595,1296
832,479,796,843,1596,1292
833,478,802,923,1598,2912
834,478,747,763,1601,1296
835,478,432,477,1602,1288
836,478,203,202,1604,1296
837,478,205,105,1605,1288
838,478,205,109,1607,1296
839,478,216,169,1608,1288
840,478,384,352,1610,1304
841,478,684,671,1611,1288
842,479,807,903,1613,1304
843,478,809,975,1614,1288
844,478,797,921,1615,1304
845,478,725,754,1617,1292
846,478,352,416,1618,1304
847,478,196,152,1620,1288
848,479,194,51,1622,1264
849,479,201,63,1624,1260
850,479,213,142,1625,1300
851,478,380,338,1627,1288
852,478,660,635,1628,3180
853,479,805,861,1632,1304
854,479,787,840,1633,1288
855,478,643,661,1635,1296
856,478,328,359,1636,1288
857,478,200,152,1638,1304
858,479,199,77,1639,1252
859,478,208,115,1640,1308
860,478,232,204,1642,1288
861,479,449,412,1643,1304
862,479,741,712,1645,1292
863,479,806,909,1646,1304
864,479,803,939,1648,1292
865,479,790,875,1649,1304
866,479,622,663,1651,1288
867,478,310,360,1652,1296
868,479,203,164,1654,1288
869,479,203,98,1655,1252
870,479,210,133,1657,1296
